Name,Region,Disaster,Begin Date,End Date,CPI-Adjusted Cost,Unadjusted Cost,Deaths
U.S. Drought (Spring-Fall 2002),SouthEast Climate Region,Drought,20020301,20021130,16031.6,9006.4,0
Western Fire Season (Fall 2002),SouthEast Climate Region,Wildfire,20020901,20021130,2301.8,1322.8,21
Severe Storms/Hail (April 2003),SouthEast Climate Region,Severe Storm,20030404,20030407,3430.8,2006.3,3
Severe Storms/Tornadoes (May 2003),SouthEast Climate Region,Severe Storm,20030503,20030510,7059.5,4128.4,51
Midwest/Plains Severe Weather (July 2003),SouthEast Climate Region,Severe Storm,20030704,20030709,1467.3,858.1,7
Southern Derecho and Eastern Severe Weather (July 2003),SouthEast Climate Region,Severe Storm,20030721,20030723,1723.9,1008.2,7
Hurricane Isabel (September 2003),SouthEast Climate Region,Tropical Cyclone,20030918,20030919,9322.9,5484,55
"Severe Storms, Hail, Tornadoes (May 2004)",SouthEast Climate Region,Severe Storm,20040521,20040527,1682.9,1013.9,4
Hurricane Charley (August 2004),SouthEast Climate Region,Tropical Cyclone,20040813,20040814,26559.2,15999.5,35
Hurricane Frances (September 2004),SouthEast Climate Region,Tropical Cyclone,20040903,20040909,16268,9800,48
Hurricane Ivan (September 2004),SouthEast Climate Region,Tropical Cyclone,20040912,20040921,34031,20500.5,57
Hurricane Jeanne (September 2004),SouthEast Climate Region,Tropical Cyclone,20040915,20040929,12444.5,7496.5,28
Southeast Severe Weather (March 2005),SouthEast Climate Region,Severe Storm,20050324,20050327,1410,865,0
Hurricane Dennis (July 2005),SouthEast Climate Region,Tropical Cyclone,20050709,20050711,4017,2495,15
Hurricane Katrina (August 2005),SouthEast Climate Region,Tropical Cyclone,20050825,20050830,200047.3,125029.5,1833
Hurricane Rita (September 2005),SouthEast Climate Region,Tropical Cyclone,20050920,20050924,29230.2,18500.1,119
Hurricane Wilma (October 2005),SouthEast Climate Region,Tropical Cyclone,20051024,20051024,30020,19000,35
Severe Storms and Tornadoes (March 2006),SouthEast Climate Region,Severe Storm,20060308,20060313,2100.1,1337.5,10
"Midwest/Southeast Tornadoes (April 6-8, 2006)",SouthEast Climate Region,Severe Storm,20060406,20060408,2502,1603.8,10
Northeast Flooding (June 2006),SouthEast Climate Region,Flooding,20060625,20060628,2358.5,1521.6,20
Midwest/Plains/Southeast Drought (Spring-Summer 2006),SouthEast Climate Region,Drought,20060301,20060831,9536.7,5997.9,0
Numerous Wildfires (2006),SouthEast Climate Region,Wildfire,20060101,20061231,2332.8,1467.1,28
Spring Freeze (April 2007),SouthEast Climate Region,Freeze,20070404,20070410,3168.6,2044,0
East/South Severe Weather and Flooding (April 2007),SouthEast Climate Region,Severe Storm,20070413,20070417,3811.8,2507.8,9
Western Wildfires (Summer 2007),SouthEast Climate Region,Wildfire,20070601,20070831,4139.4,2741.3,12
Western/Eastern Drought/Heat Wave (Summer-Fall 2007),SouthEast Climate Region,Drought,20070601,20071130,5484.6,3538.3,15
Southeast Tornadoes and Severe Weather (February 2008),SouthEast Climate Region,Severe Storm,20080205,20080206,1805.3,1211.6,57
Southeast Tornadoes (March 2008),SouthEast Climate Region,Severe Storm,20080314,20080315,1662.6,1131,5
Hurricane Gustav (September 2008),SouthEast Climate Region,Tropical Cyclone,20080831,20080903,8635.7,5997,53
Hurricane Ike (September 2008),SouthEast Climate Region,Tropical Cyclone,20080912,20080914,43198.4,29998.8,112
U.S. Wildfires (Fall 2008),SouthEast Climate Region,Wildfire,20080901,20081130,1777,1234,16
U.S. Drought (2008),SouthEast Climate Region,Drought,20080101,20081231,10444.7,7009.8,0
Southeast/Ohio Valley Severe Weather (February 2009),SouthEast Climate Region,Severe Storm,20090210,20090211,2575.4,1740.2,10
Midwest/Southeast Tornadoes (March 2009),SouthEast Climate Region,Severe Storm,20090325,20090328,2427.9,1640.5,0
South/Southeast Severe Weather and Tornadoes (April 2009),SouthEast Climate Region,Severe Storm,20090409,20090410,2116.4,1430.1,6
"Midwest, South and East Severe Weather (June 2009)",SouthEast Climate Region,Severe Storm,20090609,20090612,1939,1328.1,0
Georgia Flooding (September 2009),SouthEast Climate Region,Flooding,20090919,20090922,1311.8,898.5,10
Southwest/Great Plains Drought (2009),SouthEast Climate Region,Drought,20090101,20091231,5203.2,3492,0
Northeast Winter Storm (February 2010),SouthEast Climate Region,Winter Storm,20100209,20100211,1184.8,817,3
East/South Flooding and Severe Weather (May 2010),SouthEast Climate Region,Flooding,20100430,20100502,3286.2,2266.3,32
Rockies/Central/East Severe Weather (June 2010),SouthEast Climate Region,Severe Storm,20100610,20100615,1297.5,901,2
Midwest/Southeast Tornadoes and Derecho (April 2011),SouthEast Climate Region,Severe Storm,20110404,20110405,3885.3,2775.2,9
Southeast/Midwest Tornadoes (April 2011),SouthEast Climate Region,Severe Storm,20110408,20110411,3051,2179.3,0
Midwest/Southeast Tornadoes (April 2011),SouthEast Climate Region,Severe Storm,20110414,20110416,2882.9,2059.2,38
Southeast/Ohio Valley/Midwest Tornadoes (April 2011),SouthEast Climate Region,Severe Storm,20110425,20110428,14310.7,10222,321
Midwest/Southeast Tornadoes (May 2011),SouthEast Climate Region,Severe Storm,20110522,20110527,12644.5,9096.8,177
Midwest/Southeast Tornadoes and Severe Weather (June 2011),SouthEast Climate Region,Severe Storm,20110618,20110622,2136.6,1537.3,3
Hurricane Irene (August 2011),SouthEast Climate Region,Tropical Cyclone,20110826,20110828,18756.7,13494,45
Southern Plains/Southwest Drought and Heat Wave (Spring-Summer 2011),SouthEast Climate Region,Drought,20110301,20110831,17109.5,11964.8,95
Tropical Storm Lee (September 2011),SouthEast Climate Region,Tropical Cyclone,20110901,20110905,3492.4,2512.5,21
"Texas, New Mexico, Arizona Wildfires (Summer-Fall 2011)",SouthEast Climate Region,Wildfire,20110601,20111130,2530.8,1820.8,5
Southeast/Ohio Valley Tornadoes (March 2012),SouthEast Climate Region,Severe Storm,20120302,20120303,4286.4,3128.8,42
Plains/East/Northeast Derecho (June-July 2012),SouthEast Climate Region,Severe Storm,20120629,20120702,3957,2888.4,28
Hurricane Isaac (August 2012),SouthEast Climate Region,Tropical Cyclone,20120826,20120831,3786.1,2763.5,9
Hurricane Sandy (October 2012),SouthEast Climate Region,Tropical Cyclone,20121030,20121031,88453.9,65039.6,159
U.S. Drought/Heat Wave (2012),SouthEast Climate Region,Drought,20120101,20121231,41705.2,30003.6,123
Southeast Severe Weather (March 2013),SouthEast Climate Region,Severe Storm,20130318,20130318,2727,2020,1
Midwest/Plains/East Tornadoes (May 2013),SouthEast Climate Region,Severe Storm,20130518,20130522,3240.5,2400.3,27
