Name,Region,Disaster,Begin Date,End Date,CPI-Adjusted Cost,Unadjusted Cost,Deaths
North Central Severe Weather (May 2001),West North Central Climate Region,Severe Storm,20010430,20010501,1194.3,671,0
U.S. Drought (Spring-Fall 2002),West North Central Climate Region,Drought,20020301,20021130,16031.6,9006.4,0
Severe Storms/Tornadoes (May 2003),West North Central Climate Region,Severe Storm,20030503,20030510,7059.5,4128.4,51
Western/Central Drought/Heat Wave (Spring-Fall 2003),West North Central Climate Region,Drought,20030301,20031130,8680.8,5017.7,35
California Wildfires (Fall 2003),West North Central Climate Region,Wildfire,20030901,20031130,6613.7,3890.4,22
"Severe Storms, Hail, Tornadoes (May 2004)",West North Central Climate Region,Severe Storm,20040521,20040527,1682.9,1013.9,4
Midwest Drought (Spring-Summer 2005),West North Central Climate Region,Drought,20050301,20050831,2433.6,1474.8,0
"Midwest/Southeast Tornadoes (April 6-8, 2006)",West North Central Climate Region,Severe Storm,20060406,20060408,2502,1603.8,10
Midwest/Plains/Southeast Drought (Spring-Summer 2006),West North Central Climate Region,Drought,20060301,20060831,9536.7,5997.9,0
Numerous Wildfires (2006),West North Central Climate Region,Wildfire,20060101,20061231,2332.8,1467.1,28
Spring Freeze (April 2007),West North Central Climate Region,Freeze,20070404,20070410,3168.6,2044,0
Western Wildfires (Summer 2007),West North Central Climate Region,Wildfire,20070601,20070831,4139.4,2741.3,12
Western/Eastern Drought/Heat Wave (Summer-Fall 2007),West North Central Climate Region,Drought,20070601,20071130,5484.6,3538.3,15
Midwest Tornadoes and Severe Weather (May 2008),West North Central Climate Region,Severe Storm,20080522,20080527,4392.8,3029.5,13
Midwest/Mid-Atlantic Severe Weather (June 2008),West North Central Climate Region,Severe Storm,20080606,20080612,2355.7,1635.9,18
Midwest Flooding (Summer 2008),West North Central Climate Region,Flooding,20080401,20080630,14838,9958.4,24
U.S. Wildfires (Fall 2008),West North Central Climate Region,Wildfire,20080901,20081130,1777,1234,16
U.S. Drought (2008),West North Central Climate Region,Drought,20080101,20081231,10444.7,7009.8,0
Midwest/Southeast Tornadoes (March 2009),West North Central Climate Region,Severe Storm,20090325,20090328,2427.9,1640.5,0
"Midwest, South and East Severe Weather (June 2009)",West North Central Climate Region,Severe Storm,20090609,20090612,1939,1328.1,0
Midwest/Southeast Tornadoes and Severe Weather (June 2011),West North Central Climate Region,Severe Storm,20110618,20110622,2136.6,1537.3,3
Missouri River flooding (May-June 2011),West North Central Climate Region,Flooding,20110501,20110630,2863.3,2002.3,5
"Rockies and Midwest Derecho (July 10-11, 2011)",West North Central Climate Region,Severe Storm,20110710,20110711,1716.6,1235,2
"Midwest/Southeast Severe Weather (August 17-18, 2011)",West North Central Climate Region,Severe Storm,20110817,20110818,1600.4,1151.4,0
"Texas, New Mexico, Arizona Wildfires (Summer-Fall 2011)",West North Central Climate Region,Wildfire,20110601,20111130,2530.8,1820.8,5
Midwest Tornadoes (April 2012),West North Central Climate Region,Severe Storm,20120413,20120414,1539.4,1123.6,6
Western Wildfires (Summer-Fall 2012),West North Central Climate Region,Wildfire,20120601,20121130,2381.7,1738.5,8
U.S. Drought/Heat Wave (2012),West North Central Climate Region,Drought,20120101,20121231,41705.2,30003.6,123
Midwest/Plains Severe Weather (April 2013),West North Central Climate Region,Severe Storm,20130407,20130411,1949.4,1444,1
Western/Plains Drought/Heat Wave (Spring-Fall 2013),West North Central Climate Region,Drought,20130301,20131130,14283.6,10425.9,53
Center Severe Weather (May 2014),West North Central Climate Region,Severe Storm,20140510,20140514,1126,853,0
Rockies/Midwest/Eastern Severe Weather (May 2014),West North Central Climate Region,Severe Storm,20140518,20140523,4901.4,3713.2,0
Rockies/Central Plains Severe Weather (June 2014),West North Central Climate Region,Severe Storm,20140603,20140605,2533.4,1919.2,2
Southern Plains Tornadoes (May 2015),West North Central Climate Region,Severe Storm,20150506,20150510,1679.2,1272.1,4
Central and Northeast Severe Weather (June 2015),West North Central Climate Region,Severe Storm,20150621,20150625,1547.1,1172,1
Western and Alaskan Wildfires (Summer-Fall 2015),West North Central Climate Region,Wildfire,20150601,20151130,3996.9,3028,12
Western Drought (2015),West North Central Climate Region,Drought,20150101,20151231,6029.3,4466,0
Plains Tornadoes and Central Severe Weather (May 2016),West North Central Climate Region,Severe Storm,20160508,20160511,2252.9,1719.6,2
Rockies/Central Tornadoes and Severe Weather (May 2016),West North Central Climate Region,Severe Storm,20160521,20160526,1501.5,1146.3,0
Rockies and Northeast Severe Weather (July 2016),West North Central Climate Region,Severe Storm,20160728,20160730,1920,1465.6,0
Western/Southeast Wildfires (Summer-Fall 2016),West North Central Climate Region,Wildfire,20160601,20161231,3137.5,2395,21
Midwest Tornado Outbreak (March 2017),West North Central Climate Region,Severe Storm,20170306,20170308,2807.2,2176,2
Midwest Severe Weather (June 2017),West North Central Climate Region,Severe Storm,20170612,20170616,1931.5,1509,0
Midwest Severe Weather (June 2017),West North Central Climate Region,Severe Storm,20170627,20170629,1824,1425,0
"Western Wildfires, California Firestorm (Summer-Fall 2017)",West North Central Climate Region,Wildfire,20170601,20171231,23046.4,18005,54
"North Dakota, South Dakota and Montana Drought (Spring-Fall 2017)",West North Central Climate Region,Drought,20170301,20171231,3250,2500,0
Central and Northeast Severe Weather (May 2018),West North Central Climate Region,Severe Storm,20180501,20180504,1751.3,1390,0
Mountain West Severe Weather (July 2018),West North Central Climate Region,Severe Storm,20180726,20180729,1063.8,851,0
Rockies and Plains Hail Storms (August 2018),West North Central Climate Region,Severe Storm,20180806,20180807,1281.4,1025,0
"Western Wildfires, California Firestorm (Summer-Fall 2018)",West North Central Climate Region,Wildfire,20180601,20181231,30000,24000,106
Missouri River and North Central Flooding (March 2019),West North Central Climate Region,Flooding,20190314,20190331,13408.9,10727,3
"Rockies, Central and Northeast Tornadoes and Severe Weather (May 2019)",West North Central Climate Region,Severe Storm,20190526,20190529,5655.6,4598,3
"Mississippi River, Midwest and Southern Flooding (July 2019)",West North Central Climate Region,Flooding,20190315,20190731,7649.6,6169,4
Southeast and Eastern Tornado Outbreak (April 2020),West North Central Climate Region,Severe Storm,20200412,20200413,4236.2,3444,35
Central Severe Weather (July 2020),West North Central Climate Region,Severe Storm,20200710,20200711,1447.4,1196,0
Central Severe Weather - Derecho (August 2020),West North Central Climate Region,Severe Storm,20200810,20200810,13342.7,11027,4
"Western Wildfires - California, Oregon, Washington Firestorms (Fall 2020)",West North Central Climate Region,Wildfire,20200801,20201230,19904.5,16450,46
Western/Central Drought and Heat Wave (Summer-Fall 2020),West North Central Climate Region,Drought,20200601,20201230,5439.1,4495,45
Central Severe Storms (July 2021),West North Central Climate Region,Severe Storm,20210708,20210711,1242.2,1080,0
Midwest Derecho and Tornado Outbreak (December 2021),West North Central Climate Region,Severe Storm,20211215,20211215,2013.8,1782,1
Western Wildfires (2021),West North Central Climate Region,Wildfire,20210601,20211231,12064,10400,8
Western Drought and Heat Wave (2021),West North Central Climate Region,Drought,20210101,20211231,10117.2,8431,229
Southern Severe Weather (April 2022),West North Central Climate Region,Severe Storm,20220411,20220413,2915.7,2675,1
North Central Severe Weather (May 2022),West North Central Climate Region,Severe Storm,20220511,20220512,2949.6,2706,1
