Name,Region,Disaster,Begin Date,End Date,CPI-Adjusted Cost,Unadjusted Cost,Deaths
Northeast Winter Storm (December 1992),Great Lakes States,Winter Storm,19921210,19921213,5512.4,2483,19
East Coast Blizzard and Severe Weather (March 1993),Great Lakes States,Winter Storm,19930311,19930314,12159.4,5527,270
Northern Plains and Ohio Valley Severe Weather (July 1993),Great Lakes States,Severe Storm,19930708,19930710,1403.9,644,1
Midwest Flooding (Summer 1993),Great Lakes States,Flooding,19930627,19930815,46323.6,20960.9,48
"Winter Storm, Cold Wave (January 1994)",Great Lakes States,Winter Storm,19940117,19940120,2236.3,1040,70
Southeast Ice Storm (February 1994),Great Lakes States,Winter Storm,19940208,19940213,6414.5,2997.5,9
Midwest/Plains Tornadoes (April 1994),Great Lakes States,Severe Storm,19940425,19940427,2098.3,985.1,3
South Plains Severe Weather (May 1995),Great Lakes States,Severe Storm,19950505,19950507,11357,5486.5,32
"Central, Southern and Northeast Drought/Heat Wave (September 1995)",Great Lakes States,Drought,19950701,19950930,2017.6,984,872
Blizzard/Floods (January 1996),Great Lakes States,Winter Storm,19960101,19960131,6126.2,3003,187
Hurricane Fran (September 1996),Great Lakes States,Tropical Cyclone,19960905,19960908,9963.9,5007,37
Mississippi and Ohio Valley Severe Weather and Flooding (March 1997),Great Lakes States,Severe Storm,19970228,19970305,1925.8,977.5,67
Northern Plains Flooding (Spring 1997),Great Lakes States,Flooding,19970203,19970524,7242.7,3676.5,11
Northeast Ice Storm (January 1998),Great Lakes States,Winter Storm,19980105,19980109,2733.5,1401.8,16
Minnesota Severe Storms/Hail (May 1998),Great Lakes States,Severe Storm,19980515,19980515,3148.3,1631.3,1
"Northern Plains and Great Lakes Derecho, Tornadoes (June 1998)",Great Lakes States,Severe Storm,19980530,19980602,2197.3,1138.4,20
Central and Eastern Severe Storms and Flooding (June 1998),Great Lakes States,Severe Storm,19980620,19980624,1725.8,894,12
Central and Eastern Winter Storm (January 1999),Great Lakes States,Winter Storm,19990101,19990104,1972.1,1032.5,25
Central and Eastern Winter Storm (Mid-January 1999),Great Lakes States,Winter Storm,19990113,19990116,1684.8,882,0
Oklahoma and Kansas Tornadoes (May 1999),Great Lakes States,Severe Storm,19990503,19990506,3802.9,2012.1,55
Eastern Drought/Heat Wave (Summer 1999),Great Lakes States,Drought,19990601,19990831,4772.8,2498.9,502
Hurricane Floyd (September 1999),Great Lakes States,Tropical Cyclone,19990914,19990916,12138.1,6491,77
Midwest/Ohio Valley Hail and Tornadoes (April 2001),Great Lakes States,Severe Storm,20010406,20010411,5508.7,3094.8,3
North Central Severe Weather (May 2001),Great Lakes States,Severe Storm,20010430,20010501,1194.3,671,0
Tropical Storm Allison (June 2001),Great Lakes States,Tropical Cyclone,20010605,20010617,15084,8522,43
Severe Storms and Tornadoes (April 2002),Great Lakes States,Severe Storm,20020427,20020428,3663.9,2093.8,7
Eastern Tornadoes and Severe Storms (November 2002),Great Lakes States,Severe Storm,20021109,20021111,1245.6,720,28
