Name,Region,Disaster,Begin Date,End Date,CPI-Adjusted Cost,Unadjusted Cost,Deaths
"Midwest/Southeast Tornadoes (April 6-8, 2006)",Central Climate Regiion,Severe Storm,20060406,20060408,2502,1603.8,10
Midwest Tornadoes (April 2006),Central Climate Regiion,Severe Storm,20060413,20060416,3780.6,2423.5,27
North Central Severe Weather and Tornadoes (August 2006),Central Climate Regiion,Severe Storm,20060823,20060824,1168.9,759,1
Midwest/Plains/Southeast Drought (Spring-Summer 2006),Central Climate Regiion,Drought,20060301,20060831,9536.7,5997.9,0
Central Severe Weather (October 2006),Central Climate Regiion,Severe Storm,20061002,20061005,1371.3,879,1
Spring Freeze (April 2007),Central Climate Regiion,Freeze,20070404,20070410,3168.6,2044,0
Western/Eastern Drought/Heat Wave (Summer-Fall 2007),Central Climate Regiion,Drought,20070601,20071130,5484.6,3538.3,15
"Western, Central and Northeast Severe Weather (January 2008)",Central Climate Regiion,Severe Storm,20080104,20080109,1463.3,982,12
Southeast Tornadoes and Severe Weather (February 2008),Central Climate Regiion,Severe Storm,20080205,20080206,1805.3,1211.6,57
Midwest Tornadoes and Severe Weather (May 2008),Central Climate Regiion,Severe Storm,20080522,20080527,4392.8,3029.5,13
Midwest/Mid-Atlantic Severe Weather (June 2008),Central Climate Regiion,Severe Storm,20080606,20080612,2355.7,1635.9,18
Midwest Flooding (Summer 2008),Central Climate Regiion,Flooding,20080401,20080630,14838,9958.4,24
Hurricane Ike (September 2008),Central Climate Regiion,Tropical Cyclone,20080912,20080914,43198.4,29998.8,112
U.S. Drought (2008),Central Climate Regiion,Drought,20080101,20081231,10444.7,7009.8,0
Southeast/Ohio Valley Severe Weather (February 2009),Central Climate Regiion,Severe Storm,20090210,20090211,2575.4,1740.2,10
Midwest/Southeast Tornadoes (March 2009),Central Climate Regiion,Severe Storm,20090325,20090328,2427.9,1640.5,0
South/Southeast Severe Weather and Tornadoes (April 2009),Central Climate Regiion,Severe Storm,20090409,20090410,2116.4,1430.1,6
Central Derecho and Tornadoes (May 2009),Central Climate Regiion,Severe Storm,20090507,20090509,1265.8,861,7
"Midwest, South and East Severe Weather (June 2009)",Central Climate Regiion,Severe Storm,20090609,20090612,1939,1328.1,0
Northeast Winter Storm (February 2010),Central Climate Regiion,Winter Storm,20100209,20100211,1184.8,817,3
East/South Flooding and Severe Weather (May 2010),Central Climate Regiion,Flooding,20100430,20100502,3286.2,2266.3,32
"Oklahoma, Kansas, and Texas Tornadoes and Severe Weather (May 2010)",Central Climate Regiion,Severe Storm,20100510,20100512,4800.7,3333.8,3
Rockies/Central/East Severe Weather (June 2010),Central Climate Regiion,Severe Storm,20100610,20100615,1297.5,901,2
Midwest/Northeast Severe Storms and Flooding (July 2010),Central Climate Regiion,Severe Storm,20100720,20100723,1365.6,948.3,0
Groundhog Day Blizzard (February 2011),Central Climate Regiion,Winter Storm,20110201,20110203,2565.7,1794.2,36
Midwest/Southeast Tornadoes and Derecho (April 2011),Central Climate Regiion,Severe Storm,20110404,20110405,3885.3,2775.2,9
Southeast/Midwest Tornadoes (April 2011),Central Climate Regiion,Severe Storm,20110408,20110411,3051,2179.3,0
Ohio Valley Derecho and Southern Tornadoes (April 2011),Central Climate Regiion,Severe Storm,20110419,20110420,1452.8,1037.5,0
Southeast/Ohio Valley/Midwest Tornadoes (April 2011),Central Climate Regiion,Severe Storm,20110425,20110428,14310.7,10222,321
Midwest/Southeast Tornadoes (May 2011),Central Climate Regiion,Severe Storm,20110522,20110527,12644.5,9096.8,177
Mississippi River flooding (April-May 2011),Central Climate Regiion,Flooding,20110401,20110531,4270.1,2986,7
Midwest/Southeast Tornadoes and Severe Weather (June 2011),Central Climate Regiion,Severe Storm,20110618,20110622,2136.6,1537.3,3
Missouri River flooding (May-June 2011),Central Climate Regiion,Flooding,20110501,20110630,2863.3,2002.3,5
"North Central Severe Weather (July 1, 2011)",Central Climate Regiion,Severe Storm,20110701,20110701,1234.4,888,0
