Name,Region,Disaster,Begin Date,End Date,CPI-Adjusted Cost,Unadjusted Cost,Deaths
Midwest/Plains/Southeast Tornadoes (April 1982),SouthWest Climate Region,Severe Storm,19820402,19820404,1599.5,483.2,33
Western Storms and Flooding (December 1982-March 1983),SouthWest Climate Region,Flooding,19821213,19830331,4813.8,1499.6,50
Arizona Flooding (October 1983),SouthWest Climate Region,Flooding,19830929,19831003,1248,400,14
Freeze/Cold Wave (December 1983),SouthWest Climate Region,Freeze,19831215,19831225,6459.2,2005.8,151
Severe Storms and Hail (June 1984),SouthWest Climate Region,Severe Storm,19840613,19840617,1352,446.2,1
Western Severe Storms and Flooding (February 1986),SouthWest Climate Region,Severe Storm,19860214,19860216,1525.9,529.8,13
Northern Plains Drought (Summer-Fall 1989),SouthWest Climate Region,Drought,19890601,19891130,7808.1,3003.2,0
Colorado Hail Storm (July 1990),SouthWest Climate Region,Severe Storm,19900711,19900711,1976.3,820.1,0
Western Fire Season (Summer 1990),SouthWest Climate Region,Wildfire,19900601,19900831,1709,715,17
Midwest/Plains Tornadoes (April 1994),SouthWest Climate Region,Severe Storm,19940425,19940427,2098.3,985.1,3
Western Fire Season (Summer-Fall 1994),SouthWest Climate Region,Wildfire,19940601,19941130,1544.4,725,0
"Central, Southern and Northeast Drought/Heat Wave (September 1995)",SouthWest Climate Region,Drought,19950701,19950930,2017.6,984,872
Southern Plains Drought (Spring-Summer 1996),SouthWest Climate Region,Drought,19960301,19960831,3654.5,1791.5,0
Western Fire Season (Spring-Summer 2000),SouthWest Climate Region,Wildfire,20000301,20000831,1978,1075,0
Western/Central/Southeast Drought/Heat Wave (Spring-Fall 2000),SouthWest Climate Region,Drought,20000301,20001130,9294.5,4997.2,140
Midwest/Ohio Valley Hail and Tornadoes (April 2001),SouthWest Climate Region,Severe Storm,20010406,20010411,5508.7,3094.8,3
U.S. Drought (Spring-Fall 2002),SouthWest Climate Region,Drought,20020301,20021130,16031.6,9006.4,0
Western Fire Season (Fall 2002),SouthWest Climate Region,Wildfire,20020901,20021130,2301.8,1322.8,21
Severe Storms/Tornadoes (May 2003),SouthWest Climate Region,Severe Storm,20030503,20030510,7059.5,4128.4,51
Western/Central Drought/Heat Wave (Spring-Fall 2003),SouthWest Climate Region,Drought,20030301,20031130,8680.8,5017.7,35
California Wildfires (Fall 2003),SouthWest Climate Region,Wildfire,20030901,20031130,6613.7,3890.4,22
Colorado Hail Storms (June 2004),SouthWest Climate Region,Severe Storm,20040608,20040609,1153.7,695,0
Midwest/Plains/Southeast Drought (Spring-Summer 2006),SouthWest Climate Region,Drought,20060301,20060831,9536.7,5997.9,0
Numerous Wildfires (2006),SouthWest Climate Region,Wildfire,20060101,20061231,2332.8,1467.1,28
Western Wildfires (Summer 2007),SouthWest Climate Region,Wildfire,20070601,20070831,4139.4,2741.3,12
Western/Eastern Drought/Heat Wave (Summer-Fall 2007),SouthWest Climate Region,Drought,20070601,20071130,5484.6,3538.3,15
Midwest Tornadoes and Severe Weather (May 2008),SouthWest Climate Region,Severe Storm,20080522,20080527,4392.8,3029.5,13
Hurricane Dolly (July 2008),SouthWest Climate Region,Tropical Cyclone,20080723,20080725,1812.2,1267.3,3
U.S. Wildfires (Fall 2008),SouthWest Climate Region,Wildfire,20080901,20081130,1777,1234,16
U.S. Drought (2008),SouthWest Climate Region,Drought,20080101,20081231,10444.7,7009.8,0
Colorado Hail Storm (July 2009),SouthWest Climate Region,Severe Storm,20090720,20090720,1460,1000,0
Western Wildfires (Summer-Fall 2009),SouthWest Climate Region,Wildfire,20090601,20091130,1477.4,1011.9,10
Southwest/Great Plains Drought (2009),SouthWest Climate Region,Drought,20090101,20091231,5203.2,3492,0
Rockies/Central/East Severe Weather (June 2010),SouthWest Climate Region,Severe Storm,20100610,20100615,1297.5,901,2
Arizona Severe Weather (October 2010),SouthWest Climate Region,Severe Storm,20101005,20101006,5472,3800,0
"Rockies and Midwest Derecho (July 10-11, 2011)",SouthWest Climate Region,Severe Storm,20110710,20110711,1716.6,1235,2
Southern Plains/Southwest Drought and Heat Wave (Spring-Summer 2011),SouthWest Climate Region,Drought,20110301,20110831,17109.5,11964.8,95
"Texas, New Mexico, Arizona Wildfires (Summer-Fall 2011)",SouthWest Climate Region,Wildfire,20110601,20111130,2530.8,1820.8,5
Rockies/Southwest Severe Weather (June 2012),SouthWest Climate Region,Severe Storm,20120606,20120612,3559,2597.8,0
Western Wildfires (Summer-Fall 2012),SouthWest Climate Region,Wildfire,20120601,20121130,2381.7,1738.5,8
U.S. Drought/Heat Wave (2012),SouthWest Climate Region,Drought,20120101,20121231,41705.2,30003.6,123
Colorado Flooding (September 2013),SouthWest Climate Region,Flooding,20130910,20130916,2021.4,1508.5,9
